time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-11-17,5602.01,5524.7,5586.97,29517.8,164182152.19,5568.94,128850353.81,226599394.06,355449746.13,476111907.05,727871923.39,1203983830.44,946733873.04,1540230057.97,2486963931.01,433699720,456567778,303402,616227,262649,357684632,5064,2.59979991840582,550514,47994490.0566922,6653303141405.96,595.395833333333,914248,17381408.5449755,79206,30768,59491,3048610
2018-11-18,5701.35,5567.95,5567.95,41702.04,233409182.46,5615.26,129654675.62,239898205.7,369552881.32,523748977.4,709431958.12,1233180937.3,1041098397.68,1501768308.84,2542866706.52,433978162,456841406,273628,572212,239803,357924435,4078,2.42008287399553,550637,40499503.573738,6653303141405.96,705.581967213115,954274,17382946.0449755,79240,30779,59527,3050125
2018-11-19,5615.98,4757.01,5615.26,207964.38,1072037780.45,4809.62,133671955.03,849796212.11,983468167.13,498167792.03,1408820254.74,1906988046.77,1003871640.24,2924644440.49,3928516080.74,434318332,457163113,321707,693761,267971,358192406,8142,4.00748047642159,550763,41663341.5603971,6653303141405.96,685.872,1100711,17384521.0449755,79298,30806,59562,3052255
2018-11-20,4953.56,4168.25,4809.62,315023.21,1433400842.16,4441.81,130175404.54,1172095699.25,1302271103.79,436779484.03,1796529192.03,2233308676.06,872380488.17,3709825874.71,4582206362.87,434711367,457530637,367524,781612,288450,358480856,9948,7.33520515238197,550895,44618162.8118972,6653303141405.96,640.450381679389,1203740,17386171.0449755,79342,30836,59599,3054370
2018-11-21,4689.55,4315.58,4441.81,152286.19,686284917.84,4593.04,98392968.77,701102559.89,799495530.02,372241465.05,1432122520.92,1804363985.97,739116896.7,2984738628.69,3723855525.39,435014341,457850295,319658,642219,254942,358735798,7324,5.1359847202956,551000,35015550.5034831,6653303141405.96,816.086538461538,1213546,17387483.5449755,79359,30851,59631,3055715
2018-11-22,4640.72,4297.21,4593.04,83715.43,376852837.57,4320.68,71619402.1,337643718.77,409263120.87,269707579.95,943872378.21,1213579958.16,542622309.91,1998969159.51,2541591469.42,435364402,458171872,321577,674777,266116,359001914,6113,3.82191728693356,551122,40262489.2024527,6653303141405.96,709.735537190083,1218455,17389008.5449755,79377,30872,59662,3057195
2018-11-23,4419.48,4157.19,4320.68,121719.16,521825987.75,4343.42,92651050.12,526661209.05,619312259.17,329808946.63,1082809102.78,1412618049.41,672401806.03,2282317758.67,2954719564.7,435672774,458481103,309231,658702,275261,359277175,6797,4.20352732836326,551247,41962402.6661658,6653303141405.96,680.983870967742,1131096,17390571.0449755,79410,30904,59689,3059000
2018-11-24,4432.0,3741.2,4343.42,123090.79,503028289.39,3854.11,81361113.12,434230555.02,515591668.14,267758454.19,899354856.91,1167113311.1,542984458.19,1909131691.37,2452116149.56,435971989,458761434,280331,602095,250017,359527192,5250,3.62283081539115,551390,47257347.640892,6653303141405.96,604.68309859155,980274,17392358.5449755,79423,30917,59712,3060030
2018-11-25,4165.93,3550.04,3854.11,213926.98,819869496.19,4004.15,99148960.3,827842207.96,926991168.27,321185385.21,1463643709.24,1784829094.45,646547606.75,3057569275.85,3704116882.6,436246629,459035751,274317,588419,239256,359766448,5651,4.46197714687782,551517,41837562.6858215,6653303141405.96,683.015873015873,1010554,17393946.0449755,79440,30932,59747,3061450
2018-11-26,4124.7,3598.81,4004.46,185985.76,715341714.72,3784.59,88663859.73,540294229.96,628958089.7,263069777.31,957664139.85,1220733917.16,539993071.59,2039386061.68,2579379133.27,436562301,459354014,318263,649621,257062,360023510,7905,5.02668939736671,551628,37346780.5800251,6653303141405.96,765.145454545454,1186164,17395333.5449755,79462,30954,59786,3063195
